"newstitle","newspapername"
"고유정 피해자 동생 ""과도한 성관계 요구? 되레 형이 맞았다""","노컷뉴스"
"                                    ■ 방송 : CBS 라디오  FM 98.1 (07:30~09:00)■ 진행 : 김현정 앵커■ 대담 : 익명(고유정 피해자 남동생) 자신의 전남편..                                ","노컷뉴스"
"유역비 中 공개 지지에 '뮬란' 보이콧 운동","뉴스1"
"                                    ""나는 홍콩 경찰을 지지합니다."" 디즈니 실사 영화 '뮬란' 주인공인 중국 출신 배우 유역비가 홍콩 시위 진압을 지지하면서 전세계적인 '뮬란' 보이콧 움직임이 일..                                ","오마이뉴스"
"1학년 마치고 군대갔다고 ""불량품..자퇴하고 공장 가"" 폭언교수","뉴스1"
"                                     ""너희들은 불량품이다. 1학년 마치고 군대 간 애들은 너희들 밖에 없다. 우리 과는 졸업하고 군대를 간다"" 군대 제대 후 복학 첫 날인 2019년 3월4일에 A..                                ","뉴스엔"
"'저유소 화재' 풍등 날린 외국인 노동자 ""한국은 내게 좋은 나라""","연합뉴스"
"                                     뉴스의 이면을 봅니다. 그 이면엔 또 다른 뉴스가 있습니다. [이면N]입니다.  2년 전 친구 결혼식 때 입으려 샀던 양복을 오랜만에 꺼냈다고 했다...                                ","뉴스1"
"카니발 난폭운전 빨간모자, 자녀들 앞 아빠 폭행..시민 공분","연합뉴스"
"                                     제주에서 난폭 운전을 한 30대 운전자가 이에 항의하는 상대방 운전자를 아이들이 보는 앞에서 폭행한 사건이 알려지면서 대중들의 공분을 사고 있다. 제주동부경찰서..                                ","연합뉴스"
"장윤정 ""지난해 남편과 이혼→두 아이 양육, 오랜 고민 끝 결정""(공식입장 전문)","뉴시스"
"                                     방송인 장윤정이 지난해 남편과 이혼했다. 장윤정은 8월 16일 소속사 루트비컴퍼니를 통해 이혼 및 향후 활동에 대한 입장을 밝혔다. 장윤정은 ""현재 두 아이의 ..                                ","뉴시스"
"北, 잇단 발사에 文대통령 향해 '막말'까지..남북관계 더 '막막'","스포츠투데이"
"                                     북한이 16일 또다시 발사체 발사를 하고 사실상 문재인 대통령에게까지 비난을 쏟아내면서 정부의 고심도 한층 더 깊어지는 분위기다. 북한의 대남기구인 조국평화통일..                                ","연합뉴스"
"'깜빡이 안켠다' 항의에 무차별 폭행한 운전자, 1심 실형","조선비즈"
"                                     운전 중 시비가 붙은 피해자의 안면 부위를 여러 차례 때려 다치게 한 40대가 1심에서 실형을 선고받았다. 서울중앙지법 형사5단독 신민석 판사는 상해 혐의로 재..                                ","연합뉴스"
"직장후배 성폭행하고도 경찰에 무고로 고소한 '나쁜 상사'","중앙일보"
"                                     직장 후배를 성폭행하고도 오히려 피해자를 경찰에 무고 혐의로 거짓 고소한 40대 회사원이 재판에 넘겨져 실형을 선고받았다. 인천지법 형사7단독 임윤한 판사는 무..                                ","스포티비뉴스"
"'몸통 시신 사건' 한강수색 중 팔 발견..신원 확인 기대(종합)","세계일보"
"                                     지난 12일 한강에서 인양된 남성 몸통 시신의 일부로 추정되는 팔 부위가 16일 추가로 발견됐다. 신원 확인의 가장 중요한 단서인 지문 확보가 가능할 것으로 보..                                ","노컷뉴스"
"트럼프 ""그린란드 매입하고 싶다""..보좌관들과 논의","인터풋볼"
"                                     도널드 트럼프 미 대통령이 세계 최대 섬인 덴마크 자치령 그린란드섬을 매입하고 싶어한다고 월 스트리트 저널(WSJ)이 15일(현지시간) 보도했다. 트럼프 대통령..                                ","뉴스1"
"정부, 폐타이어 등 일본산 재활용 폐기물 3종도 통관절차 강화(종합)","YTN"
"                                     일본산 석탄재에 이어 폐배터리, 폐타이어, 폐플라스틱 등 3개 재활용 폐기물 품목의 수입통관 절차도 까다로워진다. 국내로의 폐기물 유입을 줄이겠다는 이면에 일본..                                ","아시아경제"
"'아침마당' 조영구 ""아내와 각방 6년차, 점점 사이 멀어져"" [TV캡처]","엔터미디어"
"                                     '아침마당' 방송인 조영구가 6년간 각방을 쓴 후 아내와 소원해졌다고 고백했다. 16일 오전 방송된 KBS1 교양프로그램 '아침마당'의 코너 '생생토크'에서는 ..                                ","연합뉴스"
"불도그 배 속에서 고무 오리 인형 무려 32개 나와","스포티비뉴스"
"                                     태국 파타야의 한 수의사가 불도그의 배 속에서 고무 오리 인형 무려 32개를 꺼냈다고 일간 방콕포스트와 영국 데일리메일 온라인판 등이 16일 전했다. 매체에 따..                                ","중앙일보"
"감시 카메라 피하는 셔츠<U+22C5>치마<U+22C5>마스크..인식 오류 유발","MK스포츠"
"                                    감시 카메라가 나를 알아볼 수 없게 만드는 무늬의 옷이 나왔다. 미국 IT(정보기술) 매체 씨넷에 따르면 해커이자 패션 디자이너인 케이트 로즈(Kate Rose)..                                ","연합뉴스"
"평화, 탈당계 발효에 의석수 정의당 밑으로..대안정치 창당 속도","서울신문"
"                                     민주평화당 탈당 의원들이 낸 탈당계가 16일 발효되면서 평화당은 서류상으로 공식 분당됐다. 평화당은 탈당파 11명의 당적 정리로 소속 의원 16명에서 5명의 정..                                ","연합뉴스"
"""일본, 삼성에 이러면 안돼..소재는 같이 크는 것""","뉴스1"
"                                    지난달 일본이 반도체 핵심소재에 대한 수출제한에 나서면서 일부 전문가를 중심으로 ‘다음 타깃은 탄소섬유’라는 우려가 나오기 시작했다. 탄소섬유는 일본 도레이·토호..                                ","엔터미디어"
"[단독]최민환-율희 부부, 둘째 임신..1년만에 다시 찾아온 '경사'","스타투데이"
"                                     그룹 FT아일랜드 최민환과 라붐 출신 율희 부부가 둘째 아이를 갖는 경사를 맞았다. 16일 스포티비뉴스 취재에 따르면, 최민환과 율희는 최근 둘째 아이를 임신한..                                ","뉴스1"
"그린피스 숀 버니 ""日, 원전 오염수 저장 부지 부족으로 방류? 설득력 떨어져""","중앙일보"
"                                    국제환경단체 그린피스의 숀 버니 수석 원자력전문가가<U+00A0>최근 ‘이코노미스트’에 게재한 글에서<U+00A0>“일본이 후쿠시마 제1원전에 쌓여있는 고준위 방사성 오염수 100만t<U+00A0>이..                                ","중앙일보"
"""후쿠시마는 사람 살 수 없는 땅, 오염수 저장고로 써야""","엑스포츠뉴스"
"                                    ■ 방송 : CBS 라디오  FM 98.1 (07:30~09:00)■ 진행 : 김현정 앵커■ 대담 : 최경숙(시민방사능 감시센터 간사) “일본이..                                ","뉴스엔"
"'호날두가 왜? 멍청한 결정' UEFA 올해의 선수 후보 선정에 팬들 반발","스타뉴스"
"                                     윤경식 기자= 유럽축구연맹(UEFA) 올해의 선수 후보에 크리스티아누 호날두가 선정된 것에 대해 팬들이 비판의 목소리를 높였다. UEFA는 지난 15일(한국시간..                                ","노컷뉴스"
"황교안 ""文대통령, '겁먹은 개' 소리 들으면서 北에 굴종적""","연합뉴스"
"                                     황교안 자유한국당 대표는 16일 ""문재인 대통령은 (북한으로부터) '겁먹은 개'라는 소리를 들으면서도 왜 이렇게 굴종적 모습을 보이는가""라고 비판했다. 황 대표..                                ","뉴시스"
"한일갈등 국면 국제법 학자 이장희 ""일제 강점 36년, 불법 아니었다는 전제로..""","파이낸셜뉴스"
"                                     □ 방송일시 : 2019년 8월 16일 (금요일) □ 출연자 : 이장희 한국외대 법학전문대학원 명예교수 * 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으..                                ","연합뉴스"
"가족 3교대 24시간 근무..'주 52시간'이 뭔가요","OSEN"
"                                     #서울 마포구 합정동에서 편의점을 운영하는 김명호(63ㆍ가명)씨의 주당 근무시간은 70시간을 훌쩍 넘긴다. 은퇴 후 시작한 편의점 영업, 밤 9시부터 시작해 다..                                ","연합뉴스"
"'뽕따러가세' 식기는커녕 더 뜨거워지는 송가인 신드롬의 실체","연합뉴스"
"                                    ‘뽕따러가세’ 한과 흥 넘나들며 어디든 노래방으로 만드는 송가인 [엔터미디어=정덕현의 네모난 세상] “송가인이어라-”라는 말 한 마디에 길거리에선 환호가 터져 나..                                ","스포티비뉴스"
